date,close,ExactBestMajorReversals,4DaysAheadTwoState,BuyIfNotSell,SellIfNotBuy,TwoStateMajorReversals,,counter,TwoStDayAfterMajRev,2StBDayAftSDayBefore,2StBDayAftSDayOf,DayAfterMajorReversal,4_days_ahead_TARGET,5pct_20day_TARGET,5pct_10day_TARGET,2_5pct_5day_TARGET,vix,candleHeight,6_day_SMA ,pct_Diff_from_6_day_SMA,Slope_6_Day_SMA,4_day_SMA,Slope_4_day_SMA,newHighs1Y,newLows1Y,CHLI_1Y,newHighs1M,newLows1M,CHLI_1M,newHighs2W,newLows2W,CHLI_2W,newHighs1W,newLows1W,CHLI_1W,advancedIssues,declinedIssues,ADV_Issues,advancedVolume,declinedVolume,ADV_Vol,advancedIssuesComp,declinedIssuesComp,ADV_Issues_Comp,advancedVolumeComp,declinedVolumeComp,ADV_Vol_Comp,PutCallRatio,PutCallRatio100,ImpVol,daysToEarnings,daysToDividend,TenYearFuturesContract,TwoYearFuturesContract,2yr_Yield,10yr_Yield,2yr_pct_chg,10yr_pct_chg,10yr_2yr_diff,10_2_diff_pct_chg
1/16/2015,26.4975,BUY,BUY,BUY,BUY,SELL,,11,SELL,SELL,SELL,HOLD,BUY,BUY,BUY,BUY,11,0.26,27.25375,11,11,27.052,-0.068,48,122,0.282352925,140,403,0.257826883,190,843,0.183930298,309,843,11,2047,641,0.761532735,462168,112977,0.803567796,2073,668,0.756293321,"1,491,898","448,916",0.768697052,N/A,0.3098,0.4145,-6,-13,129.7812,109.7656,0.488,1.831,0.1619,0.0596,1.343,0.0268
1/20/2015,27.18,BUY,BUY,BUY,BUY,BUY,,12,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,12,0.22,27.11666667,12,12,26.958,-0.031,96,124,0.436363617,250,383,0.394944702,383,669,0.364068438,578,669,12,1121,1592,0.413195723,258869,236364,0.522721628,1126,1638,0.407380606,"903,143","893,024",0.502816832,N/A,0.0383,0.3775,-5,-12,129.9688,109.7344,0.499,1.791,0.0225,-0.0218,1.292,-0.038
1/21/2015,27.3875,BUY,BUY,BUY,BUY,SELL,,13,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,13,0.15,27.12916667,13,13,26.943,-0.005,49,115,0.29878047,178,381,0.318425755,282,693,0.289230766,602,693,13,1109,1571,0.413805969,267458,218924,0.549892883,1150,1591,0.419554905,"1,003,807","797,906",0.557140344,N/A,0,0.3777,-4,-11,129.3125,109.7109,0.511,1.875,0.024,0.0469,1.364,0.0557
1/22/2015,28.1,BUY,BUY,BUY,BUY,BUY,,14,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,14,0.515,27.22,14,14,27.291,0.116,74,87,0.459627301,235,303,0.436802966,447,587,0.432301737,962,587,14,1988,715,0.735479095,440780,103482,0.809867307,2012,745,0.729778742,"1,542,446","416,797",0.787266306,N/A,0,0.354,-3,-10,129.2969,109.6875,0.523,1.872,0.0235,-0.0016,1.349,-0.011
1/23/2015,28.245,BUY,BUY,BUY,BUY,SELL,,15,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,15,0.16,27.3525,15,15,27.728,0.146,109,63,0.633720893,273,163,0.626146775,476,324,0.594999993,930,324,15,1197,1465,0.449661907,243366,192765,0.55801124,1207,1512,0.443913202,"931,558","695,068",0.572693416,N/A,0.6311,0.3569,-2,-9,129.8281,109.7578,0.49,1.789,-0.0631,-0.0443,1.299,-0.0371
1/26/2015,28.275,BUY,BUY,BUY,BUY,BUY,,16,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,16,0.16,27.61416667,16,16,28.002,0.091,106,68,0.609195367,308,170,0.644351451,537,371,0.591409685,924,371,16,1735,983,0.63833701,316209,159423,0.664818599,1784,986,0.644043319,"1,096,988","584,656",0.652330695,N/A,2.1156,0.397,-1,-8,129.5469,109.7109,0.515,1.828,0.051,0.0218,1.313,0.0108
1/27/2015,27.285,BUY,BUY,BUY,BUY,SELL,,17,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,17,0.82,27.74541667,17,17,27.976,-0.009,81,61,0.570422495,237,193,0.551162778,362,394,0.478835973,536,394,17,1013,1666,0.378126165,129437,358576,0.265232688,1026,1710,0.374999999,"564,378","1,331,835",0.297634285,N/A,0,0.4183,0,-7,129.6094,109.7109,0.515,1.828,0,0,1.313,0
1/28/2015,28.8275,BUY,BUY,BUY,BUY,BUY,index,18,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,18,0.5787,28.02,18,18,28.158,0.061,100,89,0.529100501,230,301,0.433145001,414,634,0.395038164,570,634,18,643,2046,0.239122349,135033,430314,0.238849768,660,2078,0.241051862,"559,911","1,518,675",0.269371101,N/A,0,0.3058,-61,-6,130.4531,109.8125,0.465,1.719,-0.0971,-0.0596,1.254,-0.0449
1/29/2015,29.725,BUY,BUY,BUY,BUY,SELL,,19,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,19,0.635,28.40958333,19,19,28.528,0.123,47,123,0.276470572,133,377,0.260784309,255,838,0.233302834,366,838,19,1779,873,0.670814477,389146,166891,0.699856305,1815,897,0.669247785,"1,392,958","661,506",0.678015288,N/A,0.014,0.29,-60,-5,130.1875,109.7734,0.52,1.756,0.1183,0.0215,1.236,-0.0144
1/30/2015,29.29,BUY,BUY,BUY,BUY,BUY,,20,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,20,0.31,28.60791667,20,20,28.782,0.085,51,113,0.310975591,152,379,0.286252349,300,884,0.253378376,416,884,20,695,2006,0.257312106,141031,526985,0.211119195,689,2039,0.252565981,"530,079","1,635,230",0.244805245,N/A,0.1208,0.3134,-59,-4,131.1094,109.9141,0.453,1.639,-0.1288,-0.0666,1.186,-0.0405
2/2/2015,29.6575,BUY,BUY,BUY,BUY,BUY,0,21,BUY,BUY,BUY,BUY,BUY,BUY,BUY,HOLD,21,0.14,28.84333333,21,21,29.375,0.198,32,94,0.253968234,138,440,0.238754321,287,1008,0.22162162,384,"1,008",21,1697,979,0.634155454,399290,158151,0.716291051,1740,988,0.63782991,"1,389,259","577,712",0.706293585,N/A,0,0.2887,-58,-3,130.9375,109.9062,0.468,1.674,0.0331,0.0214,1.206,0.0169
2/3/2015,29.6625,BUY,BUY,BUY,BUY,SELL,1,22,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,22,0.1075,29.07458333,22,22,29.584,0.07,82,47,0.635658865,353,170,0.674952186,616,364,0.628571422,897,364,22,1966,745,0.725193653,482275,99315,0.829235372,2025,754,0.728679378,"1,680,207","443,059",0.791331373,N/A,0.0005,0.273,-57,-2,129.9688,109.8047,0.516,1.798,0.1026,0.0741,1.282,0.063
2/4/2015,29.89,BUY,BUY,BUY,BUY,BUY,2,23,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,23,0.265,29.50875,23,23,29.625,0.014,89,39,0.695312446,291,140,0.675173998,494,339,0.593037208,720,339,23,1056,1604,0.39699248,275972,294623,0.483656534,1047,1680,0.383938392,"1,072,555","1,086,293",0.49681821,N/A,0.033,0.2806,-56,-1,130.3438,109.8516,0.484,1.747,-0.062,-0.0284,1.263,-0.0148
2/5/2015,29.985,BUY,BUY,BUY,BUY,BUY,3,24,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,24,0.02,29.70166667,24,24,29.799,0.058,107,38,0.737930984,386,108,0.781376502,633,216,0.74558303,935,216,24,1966,698,0.737987985,387513,128248,0.751342191,2022,720,0.73741794,"1,498,466","500,216",0.74972707,N/A,1.4314,0.2709,-55,0,129.8125,109.7891,0.524,1.817,0.0826,0.0401,1.293,0.0238
2/6/2015,29.7325,BUY,BUY,BUY,BUY,SELL,4,25,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,25,0.2725,29.70291667,25,25,29.818,0.006,117,35,0.769736791,430,98,0.814393924,691,262,0.725078691,990,262,25,1239,1415,0.4668425,229372,286902,0.444283462,1251,1463,0.460943255,"906,955","1,082,633",0.455850659,N/A,0,0.2836,-54,-62,128.5469,109.5156,0.647,1.958,0.2347,0.0776,1.311,0.0139
2/9/2015,29.93,BUY,BUY,BUY,BUY,SELL,5,26,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,BUY,26,0.2925,29.80958333,26,26,29.884,0.022,60,34,0.638297804,258,133,0.65984653,413,323,0.561141297,581,323,26,989,1704,0.36724842,167512,263086,0.389021779,1012,1727,0.36947791,"650,654","935,866",0.41011396,N/A,0,0.2728,-53,-61,128.3906,109.5,0.652,1.978,0.0077,0.0102,1.326,0.0114
