date,close,ExactBestMajorReversals,4DaysAheadTwoState,BuyIfNotSell,SellIfNotBuy,TwoStateMajorReversals,,counter,TwoStDayAfterMajRev,2StBDayAftSDayBefore,2StBDayAftSDayOf,DayAfterMajorReversal,4_days_ahead_TARGET,5pct_20day_TARGET,5pct_10day_TARGET,2_5pct_5day_TARGET,vix,candleHeight,6_day_SMA ,pct_Diff_from_6_day_SMA,Slope_6_Day_SMA,4_day_SMA,Slope_4_day_SMA,newHighs1Y,newLows1Y,CHLI_1Y,newHighs1M,newLows1M,CHLI_1M,newHighs2W,newLows2W,CHLI_2W,newHighs1W,newLows1W,CHLI_1W,advancedIssues,declinedIssues,ADV_Issues,advancedVolume,declinedVolume,ADV_Vol,advancedIssuesComp,declinedIssuesComp,ADV_Issues_Comp,advancedVolumeComp,declinedVolumeComp,ADV_Vol_Comp,PutCallRatio,PutCallRatio100,ImpVol,daysToEarnings,daysToDividend,TenYearFuturesContract,TwoYearFuturesContract,2yr_Yield,10yr_Yield,2yr_pct_chg,10yr_pct_chg,10yr_2yr_diff,10_2_diff_pct_chg
3/18/2015,32.1175,HOLD,BUY,BUY,SELL,BUY,31,52,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,SELL,52,0.2975,31.28083333,52,52,31.503,0.084,192,76,0.716417884,448,350,0.561403502,691,913,0.430798002,1217,913,52,1599,1106,0.591127539,346400,137794,0.715415722,1675,1041,0.616715756,"1,326,589","553,328",0.705663601,N/A,0,0.2408,-27,-35,128.7656,109.4844,0.556,1.918,-0.1751,-0.0653,1.362,-0.0116
3/19/2015,31.8738,HOLD,BUY,BUY,SELL,BUY,32,53,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,SELL,53,0.3137,31.4998,53,53,31.747,0.081,175,43,0.802752257,368,175,0.677716378,595,468,0.559736589,909,468,53,1457,1255,0.537241886,204374,205810,0.498249566,1438,1290,0.527126098,"841,443","806,359",0.510645697,N/A,0.8186,0.2467,-26,-34,128.25,109.3672,0.613,1.97,0.1025,0.0271,1.357,-0.0037
3/20/2015,31.475,HOLD,BUY,BUY,SELL,BUY,33,54,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,54,0.6,31.56021667,54,54,31.807,0.02,253,47,0.843333305,594,161,0.786754956,1019,409,0.713585429,1309,409,54,1619,1152,0.584265606,791515,343196,0.697547658,1660,1117,0.597767373,"1,743,805","848,441",0.67270043,N/A,51.6667,0.2406,-25,-33,128.6719,109.4375,0.585,1.932,-0.0457,-0.0193,1.347,-0.0074
3/23/2015,31.8025,HOLD,BUY,BUY,SELL,BUY,34,55,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,55,0.0225,31.71105,55,55,31.817,0.004,173,44,0.797234986,465,166,0.736925503,916,383,0.705157808,938,383,55,1447,1273,0.531985292,174284,233108,0.427804179,1466,1293,0.531351937,"686,876","881,378",0.437987724,N/A,0.6378,0.2589,-24,-32,128.875,109.4531,0.577,1.909,-0.0137,-0.0119,1.332,-0.0111
3/24/2015,31.6725,HOLD,BUY,BUY,SELL,BUY,35,56,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,56,0.135,31.78355,56,56,31.706,-0.037,118,29,0.802721034,356,122,0.744769859,639,307,0.67547568,696,307,56,1303,1379,0.485831467,144327,250884,0.365189734,1282,1418,0.474814813,"620,264","947,256",0.395697663,N/A,0,0.2615,-23,-31,129.1719,109.5,0.561,1.873,-0.0277,-0.0189,1.312,-0.015
3/25/2015,30.845,HOLD,BUY,BUY,SELL,SELL,36,57,BUY,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,57,0.79,31.63105,57,57,31.449,-0.086,71,42,0.628318528,199,346,0.365137608,377,915,0.291795663,438,915,57,484,2216,0.179259259,79058,462851,0.145887963,505,2248,0.183436251,"386,690","1,788,033",0.177811151,N/A,0,0.3003,-22,-30,128.75,109.4609,0.606,1.927,0.0802,0.0288,1.321,0.0069
3/26/2015,31.06,HOLD,BUY,BUY,SELL,SELL,37,58,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,58,0.37,31.4548,58,58,31.345,-0.035,22,57,0.278480977,94,497,0.159052451,181,1268,0.124913733,244,"1,268",58,1211,1461,0.453218561,211464,299219,0.414080751,1194,1496,0.443866169,"838,205","1,117,759",0.428538051,N/A,0.678,0.3006,-21,-29,128.3594,109.4609,0.618,1.996,0.0198,0.0358,1.378,0.0431
3/27/2015,30.8125,HOLD,BUY,BUY,SELL,SELL,38,59,BUY,BUY,BUY,HOLD,HOLD,BUY,HOLD,BUY,59,0.3375,31.27791667,59,59,31.098,-0.082,38,51,0.426966244,110,236,0.317919066,183,629,0.225369455,251,629,59,1567,1118,0.583612661,283609,156717,0.644088698,1575,1123,0.58376575,"1,049,381","586,212",0.641590542,N/A,0.1945,0.3162,-20,-28,128.5156,109.5078,0.598,1.96,-0.0324,-0.018,1.362,-0.0116
3/30/2015,31.5925,HOLD,BUY,BUY,SELL,SELL,39,60,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,60,0.58,31.2975,60,60,31.078,-0.007,109,49,0.689873374,290,196,0.596707807,372,410,0.475703319,523,410,60,1875,854,0.687064856,305461,130304,0.700976444,1845,891,0.674342103,"1,195,152","549,682",0.68496602,N/A,0.0086,0.2958,-19,-27,128.7031,109.5312,0.583,1.953,-0.0251,-0.0036,1.37,0.0059
3/31/2015,31.1075,HOLD,BUY,BUY,SELL,SELL,40,61,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,61,0.4175,31.18166667,61,61,31.143,0.022,83,43,0.658730106,233,230,0.50323973,331,504,0.396407181,471,504,61,1067,1622,0.396801784,143067,381543,0.272711157,1086,1652,0.396639882,"511,582","1,228,347",0.294024641,N/A,0,0.3082,-18,-26,128.9688,109.5781,0.559,1.927,-0.0412,-0.0133,1.368,-0.0015
4/1/2015,31.0625,HOLD,BUY,BUY,SELL,SELL,41,62,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,62,0.14,31.08,62,62,31.144,0,90,65,0.580645124,223,322,0.409174304,325,652,0.332650969,479,652,62,1243,1442,0.46294227,172223,293187,0.370045766,1276,1451,0.467913456,"692,310","1,084,363",0.389666528,N/A,0.6801,0.3146,-17,-25,129.4531,109.6172,0.539,1.859,-0.0358,-0.0353,1.32,-0.0351
